,logFC,logCPM,PValue,FDR
hsa-miR-5683,-0.680996966,5.027015137,0.083590837,1
hsa-miR-4726-5p,0.545971706,6.191241545,0.084640823,1
hsa-miR-340-5p,-0.643021674,6.004788284,0.084788836,1
hsa-miR-8071,-0.905930169,7.021142938,0.085086447,1
hsa-miR-26b-3p,-0.685639914,5.603211438,0.085968282,1
hsa-miR-615-3p,-0.702689079,7.665928181,0.086013637,1
hsa-miR-185-5p,-0.746006948,9.75747181,0.086137922,1
hsa-miR-3116,-2.782678294,3.508413679,0.086796692,1
hsa-miR-489-5p,-0.782106772,5.549973128,0.086845224,1
hsa-miR-1251-5p,0.765833808,5.217277387,0.087113901,1
hsa-miR-130a-5p,-0.923575205,5.05225477,0.087444794,1
hsa-miR-4668-5p,-0.871124306,5.614013084,0.088619218,1
hsa-miR-6870-5p,-0.895893732,5.562177412,0.088742397,1
hsa-miR-3654,0.681076282,6.394940507,0.089750573,1
hsa-miR-616-5p,1.817635684,5.553652939,0.089972044,1
hsa-miR-4311,-1.771043733,4.6059536,0.090449021,1
hsa-miR-377-3p,-0.946286695,6.21270529,0.090568125,1
hsa-miR-3120-3p,-1.805400878,4.065806601,0.091275775,1
hsa-miR-23b-3p,-0.658076569,10.07745849,0.091524694,1
hsa-miR-19b-3p,-0.764930482,7.601126054,0.092286711,1
hsa-miR-708-3p,0.905751515,4.797729953,0.09427371,1
hsa-miR-19a-3p,-0.744525233,5.988347289,0.094280759,1
hsa-miR-6504-5p,0.606212581,6.609541364,0.095463028,1
hsa-miR-24-3p,-0.662245874,10.15585611,0.095941571,1
hsa-miR-4290,-0.720994031,7.011787696,0.09628386,1
hsa-miR-6719-3p,1.155311557,4.523326842,0.096526768,1
hsa-miR-212-5p,-0.650120389,5.596265733,0.097318837,1
hsa-miR-2355-3p,0.746512364,5.289895467,0.098348272,1
hsa-miR-5687,2.753879794,3.682122552,0.100072916,1
hsa-miR-1290,0.569635462,5.689351136,0.100209048,1
hsa-miR-629-5p,-0.585384778,9.054494159,0.100392442,1
hsa-miR-155-5p,-0.547085504,7.173463291,0.100507506,1
hsa-miR-6891-3p,-0.794702833,10.43618237,0.10058891,1
hsa-miR-6811-3p,-0.799605418,5.397273017,0.101203786,1
hsa-miR-604,0.547796826,6.113779791,0.101728629,1
hsa-miR-5001-5p,-0.888460509,7.398310064,0.101830619,1
