miRNA,46-UMIs,31-UMIs,56-UMIs,1A-UMIs,24-UMIs,57-UMIs,58-UMIs,54-UMIs
hsa-miR-517b-3p,9,21,34,18,21,15,42,17
hsa-miR-5186,21,22,29,12,12,18,46,15
hsa-miR-5187-3p,12,15,20,11,26,23,23,16
hsa-miR-5187-5p,32,47,33,14,24,55,36,67
hsa-miR-5188,3,17,8,7,10,21,11,11
hsa-miR-5189-3p,40,153,116,59,94,113,84,69
hsa-miR-5189-5p,9,21,22,18,19,21,34,20
hsa-miR-518a-3p,21,7,25,17,14,102,37,22
hsa-miR-518b,47,68,59,44,71,35,76,37
hsa-miR-518c-3p,12,9,0,0,0,3,12,0
hsa-miR-518d-3p,15,51,21,14,28,29,35,18
hsa-miR-518e-3p,10,18,23,0,11,15,28,0
hsa-miR-518e-5p,3,53,0,0,0,0,0,0
hsa-miR-5190,46,59,62,46,48,41,63,44
hsa-miR-5191,26,37,57,17,37,101,42,30
hsa-miR-5192,350,379,378,439,158,329,1505,244
hsa-miR-5193,28,61,56,50,46,76,64,37
hsa-miR-5194,25,30,29,18,18,21,50,54
hsa-miR-5195-3p,33,42,41,23,26,31,69,25
hsa-miR-5195-5p,13,29,29,24,24,54,21,22
hsa-miR-5196-3p,39,81,104,70,105,52,74,75
hsa-miR-5196-5p,60,198,178,114,132,177,209,103
hsa-miR-5197-3p,15,18,21,22,18,20,35,23
hsa-miR-5197-5p,14,43,44,33,22,37,49,42
hsa-miR-519d-3p,29,46,46,29,64,29,74,28
hsa-miR-519d-5p,0,0,0,0,0,12,12,0
hsa-miR-519e-5p,0,0,0,0,0,10,12,0
hsa-miR-520a-3p,0,0,22,9,13,10,19,17
hsa-miR-520d-3p,4,24,10,7,7,12,15,12
hsa-miR-520f-3p,0,0,0,0,0,10,9,0
hsa-miR-520g-3p,17,46,78,59,19,38,51,36
hsa-miR-520h,77,71,77,83,95,56,269,155
hsa-miR-521,4,21,10,0,9,12,10,0
hsa-miR-522-3p,9,12,14,9,5,12,15,15
hsa-miR-523-3p,5,11,11,13,7,13,17,8
hsa-miR-524-3p,5,51,21,12,50,27,10,17
hsa-miR-525-3p,12,31,43,33,48,40,38,24
hsa-miR-525-5p,0,0,12,15,2,0,0,4
hsa-miR-526b-5p,0,0,0,0,0,10,6,0
hsa-miR-532-3p,428,1066,1160,1112,1165,1099,1843,696
hsa-miR-532-5p,241,993,1150,939,357,803,1758,815
hsa-miR-539-3p,14,23,48,22,12,30,73,25
hsa-miR-539-5p,0,0,12,0,8,0,0,0
hsa-miR-541-3p,0,0,13,14,9,8,17,13
hsa-miR-541-5p,16,41,43,24,41,87,46,34
hsa-miR-542-3p,186,373,498,410,283,857,552,908
hsa-miR-542-5p,71,93,180,100,101,169,238,216
hsa-miR-543,12,16,16,18,9,38,25,25
hsa-miR-544b,9,15,15,21,7,3,16,3
hsa-miR-545-3p,0,0,4,15,15,6,12,2
hsa-miR-545-5p,0,0,14,0,6,0,0,0
hsa-miR-548a-5p,10,20,17,13,5,22,55,26
hsa-miR-548ac,15,24,38,18,24,27,50,39
hsa-miR-548ad-3p,183,166,274,154,88,151,450,294
hsa-miR-548ad-5p,0,0,14,14,10,8,13,14
hsa-miR-548ae-3p,15,6,13,0,5,2,10,0
hsa-miR-548ag,0,13,16,0,7,10,7,0
hsa-miR-548ah-5p,0,0,0,0,0,2,11,0
hsa-miR-548ai,0,0,11,0,12,0,0,0
hsa-miR-548al,7,13,21,21,12,8,23,6
hsa-miR-548an,0,0,0,0,0,14,5,0
hsa-miR-548ao-3p,11,23,23,7,22,31,28,13
hsa-miR-548ao-5p,6,12,10,0,3,33,9,0
hsa-miR-548ap-3p/548t-3p/548aa,27,10,16,11,10,16,32,29
hsa-miR-548ap-5p/548j-5p,9,28,18,9,13,15,11,14
hsa-miR-548ar-5p,5,12,23,13,7,63,32,12
hsa-miR-548as-3p,0,0,13,0,3,14,10,0
hsa-miR-548as-5p,0,0,15,6,7,10,20,10
hsa-miR-548at-3p,13,14,0,0,0,13,15,0
hsa-miR-548at-5p,0,0,12,0,19,4,13,0
hsa-miR-548au-5p/548c-5p/548o-5p/548am-5p,13,13,26,14,12,27,41,24
hsa-miR-548av-5p/548k,11,29,45,22,18,29,58,19
hsa-miR-548aw,80,73,111,58,73,111,157,139
hsa-miR-548ay-3p,86,335,372,235,193,203,509,265
hsa-miR-548az-5p,1,19,0,0,0,13,9,0
hsa-miR-548b-3p,8,23,16,0,3,12,12,0
hsa-miR-548b-5p,0,0,0,6,0,0,0,10
hsa-miR-548d-3p,11,9,0,0,0,31,24,0
hsa-miR-548d-5p,13,12,0,7,0,7,20,25
hsa-miR-548e-3p,38,9,29,5,15,7,44,45
hsa-miR-548e-5p,18,36,31,28,7,10,39,31
hsa-miR-548f-5p,0,0,10,0,9,7,17,0
hsa-miR-548h-5p,14,17,18,4,10,9,36,24
hsa-miR-548i,0,0,0,0,0,18,8,0
hsa-miR-548l,13,27,28,10,20,32,36,30
hsa-miR-548m,0,0,0,0,0,10,4,0
hsa-miR-548q,15,12,12,0,9,11,10,0
hsa-miR-548t-5p,4,31,16,13,8,18,30,25
hsa-miR-548v,34,14,15,9,4,6,33,20
hsa-miR-548w,0,0,12,0,11,9,11,0
hsa-miR-549a,12,30,11,14,9,12,32,21
hsa-miR-550a-3-5p,0,0,0,0,0,17,13,0
hsa-miR-550a-3p,58,114,109,137,97,90,213,79
hsa-miR-550a-5p,0,0,0,0,0,16,14,0
hsa-miR-550b-3p,19,119,81,165,174,189,120,67
hsa-miR-551a,49,146,162,96,74,125,210,117
hsa-miR-551b-3p,0,0,11,0,10,11,30,0
hsa-miR-551b-5p,11,119,26,14,14,17,14,11
hsa-miR-552-3p,2,21,21,16,18,14,31,14
hsa-miR-552-5p,49,116,79,65,54,107,261,65
hsa-miR-553,6,25,31,24,11,25,17,16
hsa-miR-554,10,19,21,14,13,11,36,24
hsa-miR-555,0,0,0,0,0,11,11,0
hsa-miR-556-3p,0,0,22,0,12,0,0,0
hsa-miR-556-5p,1,13,0,0,0,0,0,0
hsa-miR-557,29,130,89,92,106,93,170,70
hsa-miR-5571-3p,6,16,19,9,2,0,0,11
hsa-miR-5571-5p,0,0,0,4,0,0,0,10
hsa-miR-5572,18,69,74,59,63,75,103,39
hsa-miR-5579-5p,20,28,29,27,8,21,29,24
hsa-miR-558,145,186,222,132,154,161,384,209
hsa-miR-5580-3p,0,0,10,9,6,0,0,10
hsa-miR-5580-5p,3,14,0,0,0,0,0,0
hsa-miR-5581-3p,3,12,0,12,0,14,13,8
hsa-miR-5581-5p,5,15,0,10,0,0,0,5
hsa-miR-5582-3p,49,55,54,50,65,62,266,30
hsa-miR-5583-5p,25,10,14,17,17,23,51,22
hsa-miR-5584-3p,17,21,26,18,25,67,21,16
hsa-miR-5584-5p,41,67,72,32,42,38,74,75
hsa-miR-5585-3p,18,10,28,15,13,11,49,17
hsa-miR-5585-5p,21,29,44,25,18,32,69,15
hsa-miR-5586-3p,0,0,0,0,0,1,10,0
hsa-miR-5586-5p,0,0,11,0,8,15,3,0
hsa-miR-5587-3p,38,67,44,44,39,48,53,62
hsa-miR-5587-5p,16,27,25,18,32,23,29,20
hsa-miR-5588-5p,11,28,17,10,12,26,16,13
hsa-miR-5589-3p,7,14,18,6,10,0,0,12
hsa-miR-5589-5p,11,8,15,8,4,7,23,20
hsa-miR-5591-3p,12,12,17,0,6,17,11,0
hsa-miR-5591-5p,174,249,312,270,161,276,239,278
hsa-miR-561-3p,0,0,0,0,0,2,13,0
hsa-miR-561-5p,4,10,0,0,0,3,10,0
hsa-miR-562,52,52,56,36,52,38,75,53
hsa-miR-563,38,30,32,22,21,25,63,49
hsa-miR-564,7,10,17,1,9,11,6,11
hsa-miR-566,42,31,35,20,13,23,100,41
hsa-miR-567,9,11,13,10,22,7,18,14
hsa-miR-568,19,32,25,28,16,27,100,39
hsa-miR-5680,0,0,11,0,3,15,6,0
hsa-miR-5681a,18,28,49,59,36,49,78,36
hsa-miR-5681b,31,27,41,24,13,11,68,24
hsa-miR-5682,6,32,55,16,15,74,25,23
hsa-miR-5683,5,12,14,12,14,26,22,19
hsa-miR-5684,25,25,36,29,32,25,63,25
hsa-miR-5685,31,50,49,25,47,43,42,41
hsa-miR-5687,4,13,17,0,4,0,0,0
hsa-miR-5688,7,11,0,8,0,3,12,10
hsa-miR-5689,10,18,11,0,12,13,3,0
hsa-miR-569,12,23,32,8,15,15,24,15
hsa-miR-5690,5,14,11,14,12,8,17,10
hsa-miR-5691,33,103,101,111,170,130,190,64
hsa-miR-5692a,4727,6073,8065,6069,3795,5151,11826,6989
hsa-miR-5693,15,5,12,0,6,7,14,0
hsa-miR-5694,55,68,81,65,53,55,89,62
hsa-miR-5695,11,30,42,20,38,26,29,11
hsa-miR-5696,1,13,13,1,3,9,12,16
hsa-miR-5697,28,71,76,87,60,55,317,45
hsa-miR-5698,43,65,11,12,9,5,40,11
hsa-miR-5699-3p,4,16,34,10,20,21,32,15
hsa-miR-5699-5p,31,64,85,71,121,102,114,58
hsa-miR-570-3p,4,12,0,4,0,8,10,14
hsa-miR-5700,0,0,10,0,6,18,13,0
hsa-miR-5701,4,12,14,0,5,11,11,0
hsa-miR-5702,7,34,16,10,11,16,10,12
hsa-miR-5703,26,168,41,34,52,41,75,18
hsa-miR-5704,39,39,78,53,23,50,61,38
hsa-miR-5705,97,64,74,66,111,223,163,58
hsa-miR-5706,19,44,35,39,34,50,44,14
hsa-miR-5707,2,21,0,4,0,0,0,10
hsa-miR-5708,152,226,196,273,165,227,628,133
hsa-miR-571,9,17,20,10,20,20,32,14
hsa-miR-572,38,54,74,67,40,78,102,43
hsa-miR-573,0,0,12,8,14,2,16,15
hsa-miR-5739,13,14,13,25,27,16,52,15
hsa-miR-574-3p,51,123,221,132,122,214,211,315
hsa-miR-574-5p,121,164,181,122,129,252,133,332
hsa-miR-575,11,20,46,19,21,95,38,29
hsa-miR-576-3p,15,76,31,23,47,51,34,27
hsa-miR-576-5p,10,43,48,33,40,48,66,62
hsa-miR-578,5,32,33,27,18,25,25,17
hsa-miR-5787,30,75,66,71,71,76,98,62
hsa-miR-579-3p,4,37,0,0,0,4,11,0
hsa-miR-579-5p,17,26,43,10,11,14,33,30
hsa-miR-580-3p,7,12,16,11,9,5,18,9
hsa-miR-580-5p,0,0,14,11,1,9,26,17
hsa-miR-581,4,16,16,8,14,6,34,21
hsa-miR-582-3p,13,21,20,12,19,25,29,28
hsa-miR-582-5p,0,0,16,0,11,17,13,0
hsa-miR-583,4,19,19,8,12,16,12,11
hsa-miR-584-3p,19,43,63,50,57,69,111,30
hsa-miR-584-5p,27,41,35,29,33,26,81,51
hsa-miR-585-3p,42,108,132,69,68,81,282,99
hsa-miR-585-5p,13,23,14,13,14,13,36,9
hsa-miR-586,4,12,0,0,0,12,13,0
hsa-miR-587,10,3,9,0,14,8,55,0
hsa-miR-588,18,18,18,17,7,9,29,15
hsa-miR-589-3p,16,190,28,24,20,24,78,31
hsa-miR-589-5p,18,35,25,29,10,34,34,26
hsa-miR-590-3p,27,16,48,20,30,27,30,51
hsa-miR-590-5p,0,0,0,0,0,5,12,0
hsa-miR-591,6,48,32,50,28,38,77,36
hsa-miR-592,14,8,27,11,14,9,25,16
hsa-miR-593-3p,31,33,40,36,10,20,57,46
hsa-miR-593-5p,622,342,618,308,144,204,1054,1170
hsa-miR-595,56,61,62,52,55,41,160,49
hsa-miR-596,47,135,111,95,154,131,134,62
hsa-miR-597-3p,67,46,45,29,37,47,59,39
hsa-miR-597-5p,32,171,198,135,72,111,229,115
hsa-miR-598-3p,23,46,110,94,51,97,113,109
hsa-miR-598-5p,15,28,35,13,15,16,36,33
hsa-miR-599,0,0,12,0,3,0,0,0
hsa-miR-600,36,63,99,48,22,47,137,42
hsa-miR-601,19,16,12,18,5,8,49,25
hsa-miR-602,20,47,47,38,33,42,95,30
hsa-miR-604,30,54,41,25,22,26,50,27
hsa-miR-605-5p,55,131,192,123,31,73,186,144
hsa-miR-606,10,8,12,12,13,41,12,15
hsa-miR-6068,140,66,81,48,36,48,189,215
hsa-miR-6069,24,34,57,27,42,64,49,59
hsa-miR-607,7,13,6,4,15,15,16,11
hsa-miR-6070,7,28,17,36,37,20,34,22
hsa-miR-6071,16,32,40,57,35,38,65,33
hsa-miR-6072,12,35,47,24,11,10,60,38
hsa-miR-6073,3,27,21,24,4,23,31,16
hsa-miR-6074,48,224,285,329,214,323,700,199
hsa-miR-6075,132,301,347,285,365,413,599,218
hsa-miR-6076,26,39,33,31,26,58,59,22
hsa-miR-6077,9,22,16,21,12,13,34,13
hsa-miR-6078,504,104,93,117,51,102,1284,77
hsa-miR-6079,149,38,78,24,19,41,108,230
hsa-miR-608,22,59,68,51,49,65,74,34
hsa-miR-6080,8,100,46,21,16,44,47,23
hsa-miR-6081,16,34,74,52,47,80,80,46
hsa-miR-6082,20,55,23,16,23,35,50,13
hsa-miR-6083,69,127,119,55,91,111,73,102
hsa-miR-6084,199,672,639,599,476,635,1018,397
hsa-miR-6085,26,64,53,53,44,51,51,40
hsa-miR-6086,12,13,23,15,12,28,16,16
hsa-miR-6087,67,112,120,103,107,170,66,77
hsa-miR-6088,30,103,122,79,226,173,75,64
hsa-miR-6089,62,119,97,57,217,160,119,54
hsa-miR-609,8,14,20,6,13,14,23,10
hsa-miR-6090,44,79,75,39,106,66,89,43
hsa-miR-610,121,88,92,76,53,78,63,142
hsa-miR-611,16,35,54,36,31,51,87,55
hsa-miR-612,39,21,29,21,20,27,64,30
hsa-miR-6124,47,56,72,55,86,123,56,54
hsa-miR-6125,53,104,103,75,62,87,173,58
hsa-miR-6126,204,461,472,614,626,439,525,1048
hsa-miR-6127,26,65,67,36,89,88,28,62
hsa-miR-6128,1,13,14,0,6,0,0,0
hsa-miR-6129,33,123,141,162,145,97,111,113
hsa-miR-613,33,54,58,89,69,71,156,27
hsa-miR-6130,9,11,9,11,18,19,18,21
hsa-miR-6131,16,44,34,19,22,40,42,16
hsa-miR-6132,16,12,19,16,11,25,28,24
hsa-miR-6133,66,128,177,102,52,63,128,150
hsa-miR-6134,63,121,120,60,69,78,217,68
hsa-miR-614,449,731,861,899,2561,1284,813,510
hsa-miR-615-3p,52,78,82,76,185,117,98,115
hsa-miR-615-5p,35,60,69,69,45,57,131,46
hsa-miR-616-3p,226,491,538,326,381,361,660,428
hsa-miR-616-5p,44,67,12,0,14,12,19,0
hsa-miR-6165,39,52,76,45,52,54,111,65
hsa-miR-617,0,0,12,13,5,29,17,7
hsa-miR-618,8,26,26,16,32,26,29,14
hsa-miR-619-3p,34,25,30,21,17,11,74,60
hsa-miR-619-5p,16,33,36,26,41,47,24,36
hsa-miR-621,14,62,70,67,44,56,91,50
hsa-miR-622,6,14,11,11,20,58,23,10
hsa-miR-623,44,36,66,44,17,150,56,50
hsa-miR-624-3p,19,26,21,10,17,28,31,9
hsa-miR-624-5p,18,16,15,10,14,9,25,12
hsa-miR-625-3p,109,230,497,441,288,248,161,326
hsa-miR-625-5p,0,0,12,6,8,14,7,12
hsa-miR-626,15,37,55,30,31,117,58,42
hsa-miR-627-3p,11,13,10,9,6,14,12,10
hsa-miR-627-5p,0,0,33,10,18,11,23,18
hsa-miR-628-3p,117,162,187,267,77,172,397,182
hsa-miR-628-5p,0,0,10,7,6,23,12,15
hsa-miR-629-3p,54,71,96,44,40,53,111,106
hsa-miR-629-5p,129,305,258,142,199,497,498,300
hsa-miR-630,10,41,40,25,40,25,34,29
hsa-miR-631,47,98,131,73,88,71,109,102
hsa-miR-632,2,11,13,13,5,16,14,14
hsa-miR-633,0,0,0,6,0,13,9,10
hsa-miR-634,15,17,26,17,17,14,21,9
hsa-miR-635,21,54,105,44,72,46,88,58
hsa-miR-636,45,96,107,103,131,170,132,98
hsa-miR-637,17,54,35,27,39,37,59,29
hsa-miR-638,154,137,164,123,133,147,260,148
hsa-miR-639,57,72,97,71,45,55,221,55
hsa-miR-640,9,11,13,10,12,14,13,9
hsa-miR-641,7,15,21,14,9,15,18,11
hsa-miR-642a-3p,0,0,11,0,2,0,0,0
hsa-miR-642a-5p,10,29,28,20,34,36,22,23
hsa-miR-642b-3p,0,0,6,0,13,0,0,0
hsa-miR-642b-5p,21,22,41,22,16,22,50,49
hsa-miR-643,7,15,21,10,9,8,18,12
hsa-miR-644a,0,0,4,0,11,0,0,0
hsa-miR-645,13,5,13,0,3,2,43,0
hsa-miR-646,10,22,20,21,12,14,18,13
hsa-miR-647,33,41,45,34,42,25,78,42
hsa-miR-648,20,19,18,24,49,35,39,18
hsa-miR-649,21,40,32,23,23,45,39,36
hsa-miR-6499-3p,19,9,25,0,3,6,31,0
hsa-miR-6499-5p,23,57,36,24,16,14,36,27
hsa-miR-650,10,4,17,31,10,17,25,7
hsa-miR-6500-3p,142,183,201,189,172,264,453,294
hsa-miR-6500-5p,11,13,0,0,0,26,16,0
hsa-miR-6501-3p,5,20,25,13,7,4,23,17
hsa-miR-6501-5p,9,27,30,28,23,19,24,56
hsa-miR-6502-3p,0,15,0,0,0,0,0,0
hsa-miR-6502-5p,2,24,14,24,5,11,29,14
hsa-miR-6503-3p,97,28,64,31,29,29,129,132
hsa-miR-6503-5p,45,67,61,51,43,122,125,52
hsa-miR-6504-3p,9,24,29,25,69,45,28,13
hsa-miR-6504-5p,54,49,82,29,30,43,58,41
hsa-miR-6505-3p,91,121,136,162,71,134,284,101
hsa-miR-6505-5p,13,12,14,0,13,5,49,0
hsa-miR-6506-3p,0,0,16,10,10,7,24,6
hsa-miR-6506-5p,15,12,17,5,3,6,37,19
hsa-miR-6507-3p,6,21,22,13,34,29,21,9
hsa-miR-6507-5p,24,14,24,10,14,94,40,18
hsa-miR-6508-5p,50,13,39,17,10,22,66,62
hsa-miR-6509-3p,15,18,23,6,15,17,23,12
hsa-miR-6509-5p,0,0,10,0,4,6,16,0
hsa-miR-651-3p,12,15,21,20,20,20,19,9
hsa-miR-651-5p,25,34,43,19,16,39,37,25
hsa-miR-6510-3p,1,10,0,0,0,12,9,0
hsa-miR-6510-5p,14,28,34,29,44,35,27,25
hsa-miR-6511a-3p,0,0,21,5,21,9,14,11
hsa-miR-6511a-5p,44,60,77,45,32,35,79,67
hsa-miR-6511b-3p,13,34,38,35,49,57,49,24
hsa-miR-6511b-5p,28,72,53,30,75,52,90,45
hsa-miR-6512-3p,22,18,19,15,16,30,15,20
hsa-miR-6512-5p,10,10,10,8,8,7,26,18
hsa-miR-6513-3p,11,8,26,12,15,26,18,22
hsa-miR-6513-5p,17,24,33,4,7,40,24,13
hsa-miR-6514-3p,6,27,32,24,19,7,32,15
hsa-miR-6514-5p,11,21,27,15,23,38,18,11
hsa-miR-6515-3p,68,386,617,185,49,80,77,441
hsa-miR-6515-5p,120,285,374,267,303,345,236,250
hsa-miR-6516-3p,0,0,0,4,0,2,12,10
hsa-miR-6516-5p,7,18,18,5,5,5,10,30
hsa-miR-652-3p,32,32,46,39,20,42,79,50
hsa-miR-652-5p,6,28,24,22,46,25,11,16
hsa-miR-653-3p,6,20,26,16,8,14,11,26
hsa-miR-653-5p,6,10,0,0,0,6,22,0
hsa-miR-654-3p,34,63,125,72,76,277,178,292
hsa-miR-654-5p,26,100,140,117,56,84,177,58
hsa-miR-655-3p,0,0,0,0,0,1,14,0
hsa-miR-655-5p,8,11,0,0,0,0,0,0
hsa-miR-656-3p,96,100,155,91,20,59,382,114
hsa-miR-656-5p,0,0,11,15,5,4,16,11
hsa-miR-657,38,21,21,11,18,31,31,21
hsa-miR-658,42,80,60,49,53,80,83,50
hsa-miR-659-3p,21,21,17,16,22,27,27,28
hsa-miR-659-5p,38,97,98,36,33,33,130,67
hsa-miR-660-3p,5,12,7,14,10,25,10,7
hsa-miR-660-5p,60,115,82,58,44,125,213,95
hsa-miR-661,9,26,26,29,16,64,41,24
hsa-miR-662,18,40,40,11,74,59,59,35
hsa-miR-663a,19,43,93,65,55,96,91,61
hsa-miR-663b,39,87,61,56,36,67,91,75
hsa-miR-664a-3p,181,624,597,444,221,342,347,368
hsa-miR-664a-5p,52,99,52,59,58,122,105,88
hsa-miR-664b-3p,0,0,14,10,19,15,8,10
hsa-miR-664b-5p,131,128,138,92,85,90,106,152
hsa-miR-665,188,849,823,1015,324,798,1564,650
hsa-miR-668-3p,24,26,20,16,29,115,33,26
hsa-miR-668-5p,213,452,426,482,338,511,549,306
hsa-miR-670-3p,0,0,0,0,0,17,21,0
hsa-miR-670-5p,19,121,168,131,26,48,148,103
hsa-miR-671-3p,17,39,57,49,47,51,82,55
hsa-miR-671-5p,49,84,105,67,54,101,113,85
hsa-miR-6715a-3p,14,15,14,19,11,13,18,17
hsa-miR-6715b-3p,27,85,118,99,36,58,159,94
hsa-miR-6715b-5p,4,14,20,0,19,11,22,0
hsa-miR-6716-3p,17,64,86,42,35,55,73,54
hsa-miR-6716-5p,23,22,22,4,13,27,24,12
hsa-miR-6717-5p,190,149,151,90,102,109,292,454
hsa-miR-6718-5p,13,15,24,9,22,19,20,12
hsa-miR-6719-3p,17,11,10,10,2,10,7,9
hsa-miR-6720-3p,28,39,37,36,36,42,73,37
hsa-miR-6720-5p,32,94,98,94,138,147,105,69
hsa-miR-6721-5p,44,48,57,35,41,42,67,33
hsa-miR-6722-3p,68,69,75,64,29,68,100,69
hsa-miR-6722-5p,393,397,425,327,210,305,595,364
hsa-miR-6723-5p,16,16,24,24,22,23,39,30
hsa-miR-6724-5p,50,126,134,78,164,202,185,68
hsa-miR-6726-3p,52,76,89,76,59,78,120,73
hsa-miR-6726-5p,22,24,43,14,44,42,58,38
hsa-miR-6727-3p,17,34,28,28,33,41,40,32
hsa-miR-6727-5p,32,101,109,83,50,69,131,90
hsa-miR-6728-3p,28,32,27,30,23,20,59,25
hsa-miR-6728-5p,29,64,48,26,66,49,66,53
hsa-miR-6729-3p,60,124,131,68,111,102,105,88
hsa-miR-6729-5p,25,120,155,129,121,124,136,99
hsa-miR-6730-3p,10,34,48,36,37,43,56,27
hsa-miR-6730-5p,34,21,49,32,32,63,57,36
hsa-miR-6731-3p,69,152,118,77,88,86,109,119
hsa-miR-6731-5p,44,64,64,38,49,52,87,44
hsa-miR-6732-3p,57,105,153,108,148,150,94,137
hsa-miR-6732-5p,11,24,23,26,25,14,32,20
hsa-miR-6733-3p,0,0,0,0,0,4,11,0
hsa-miR-6733-5p,8,63,20,13,9,16,20,14
hsa-miR-6734-3p,25,74,84,67,186,120,56,100
hsa-miR-6734-5p,19,71,27,29,33,43,71,27
hsa-miR-6735-3p,94,95,129,97,58,112,241,113
hsa-miR-6735-5p,6,22,28,18,47,23,34,5
hsa-miR-6736-3p,18,22,32,12,24,27,50,43
hsa-miR-6736-5p,102,296,481,238,80,147,424,270
hsa-miR-6737-3p,144,142,131,116,255,153,179,146
hsa-miR-6737-5p,41,100,109,74,85,107,114,102
hsa-miR-6738-3p,0,0,19,7,13,13,19,11
hsa-miR-6738-5p,32,162,225,62,31,93,260,62
hsa-miR-6739-3p,0,0,10,0,2,0,0,0
hsa-miR-6739-5p,30,50,69,57,41,48,147,44
hsa-miR-6740-3p,10,20,19,22,26,29,17,16
hsa-miR-6740-5p,9,16,21,14,24,26,27,19
hsa-miR-6741-3p,18,36,34,12,34,40,29,30
hsa-miR-6741-5p,12,27,37,22,20,39,33,13
hsa-miR-6742-3p,18,13,20,13,6,13,28,30
hsa-miR-6742-5p,219,383,374,478,746,439,787,261
hsa-miR-6743-3p,256,402,347,175,73,263,410,157
hsa-miR-6743-5p,45,131,130,120,174,156,190,119
hsa-miR-6744-3p,11,11,10,17,10,24,19,7
hsa-miR-6744-5p,11,14,13,0,8,14,30,0
hsa-miR-6745,16,34,21,31,22,72,45,24
hsa-miR-6746-3p,39,71,91,66,71,110,91,78
hsa-miR-6746-5p,28,50,58,34,56,92,41,56
hsa-miR-6747-3p,30,33,25,48,51,63,43,32
hsa-miR-6747-5p,441,1610,1782,1444,1314,1705,1750,1375
hsa-miR-6748-3p,9,275,25,18,13,21,28,12
hsa-miR-6748-5p,18,89,71,52,81,87,87,51
hsa-miR-6749-3p,14,47,21,32,43,80,28,29
hsa-miR-6749-5p,43,65,62,24,54,61,88,44
hsa-miR-675-3p,42,121,149,109,63,175,125,121
hsa-miR-675-5p,52,192,291,151,88,134,121,246
hsa-miR-6750-3p,32,18,38,14,10,21,34,69
hsa-miR-6750-5p,97,118,135,96,68,85,170,145
hsa-miR-6751-3p,2,13,12,11,16,16,10,4
hsa-miR-6751-5p,14,32,25,25,23,26,21,12
hsa-miR-6752-3p,20,49,50,48,48,55,69,36
hsa-miR-6752-5p,38,124,106,98,113,142,99,104
hsa-miR-6753-3p,11,28,24,15,22,10,31,15
hsa-miR-6753-5p,3,22,20,28,27,35,37,14
hsa-miR-6754-3p,19,29,17,8,13,24,29,22
hsa-miR-6754-5p,12,93,17,14,12,31,20,18
hsa-miR-6755-3p,4,11,9,0,12,14,6,17
hsa-miR-6755-5p,4,13,0,11,0,9,11,17
hsa-miR-6756-3p,93,111,74,52,181,142,143,62
hsa-miR-6756-5p,442,2924,3776,1791,323,750,748,2892
hsa-miR-6757-3p,0,0,0,0,0,5,10,0
hsa-miR-6757-5p,96,67,70,53,26,43,123,153
hsa-miR-6758-3p,9,25,30,10,31,28,21,15
hsa-miR-6758-5p,121,468,467,438,545,492,602,381
hsa-miR-6759-3p,16,16,13,18,20,30,40,19
hsa-miR-6759-5p,0,0,10,0,13,9,15,0
hsa-miR-676-3p,55,80,99,85,75,78,158,67
hsa-miR-676-5p,8,13,14,7,12,8,17,17
hsa-miR-6760-3p,42,85,110,66,77,62,101,79
hsa-miR-6760-5p,113,108,99,45,22,181,111,69
hsa-miR-6761-3p,29,23,33,28,41,47,70,10
hsa-miR-6761-5p,10,32,20,29,55,31,53,14
hsa-miR-6762-3p,4,19,23,10,19,24,17,10
hsa-miR-6762-5p,23,36,28,23,18,15,39,15
hsa-miR-6763-3p,82,104,92,104,91,119,199,155
hsa-miR-6763-5p,23,37,33,19,26,36,56,30
hsa-miR-6764-5p,26,74,84,54,45,42,93,64
hsa-miR-6765-3p,17,24,45,25,12,18,43,26
hsa-miR-6765-5p,21,17,29,19,22,12,31,29
hsa-miR-6766-3p,18,31,35,31,68,49,65,31
hsa-miR-6766-5p,12,43,16,12,18,21,23,18
hsa-miR-6767-3p,43,25,35,15,27,23,47,45
hsa-miR-6767-5p,13,49,40,22,25,61,63,46
hsa-miR-6768-3p,15,19,16,14,14,14,30,12
hsa-miR-6768-5p,41,154,137,188,349,476,125,92
hsa-miR-6769a-3p,8,18,14,9,15,23,17,11
hsa-miR-6769a-5p,20,45,30,33,31,26,47,30
hsa-miR-6769b-3p,19,46,35,60,75,122,48,22
hsa-miR-6769b-5p,28,121,66,59,34,78,103,34
hsa-miR-6770-3p,35,58,79,52,33,36,65,48
hsa-miR-6770-5p,17,55,68,33,11,20,47,41
hsa-miR-6771-3p,25,32,53,13,16,25,41,25
hsa-miR-6771-5p,15,25,24,19,13,15,42,19
hsa-miR-6772-3p,7,20,13,20,10,25,10,5
hsa-miR-6772-5p,27,40,59,44,28,41,79,66
hsa-miR-6773-3p,10,18,13,0,10,22,13,0
hsa-miR-6773-5p,20,34,37,32,31,41,44,35
hsa-miR-6774-3p,13,18,13,11,8,16,23,11
hsa-miR-6774-5p,9,12,26,19,10,19,22,17
hsa-miR-6775-3p,15,23,18,12,17,25,33,25
hsa-miR-6775-5p,39,113,60,48,77,156,102,60
hsa-miR-6776-3p,13,17,24,11,25,28,14,11
hsa-miR-6776-5p,43,13,14,6,14,19,41,41
hsa-miR-6777-3p,26,215,272,116,73,154,151,136
hsa-miR-6777-5p,15,38,28,17,29,44,42,22
